,initial_gdp_share,gdp_per_capita_1990,gdpper_diff,initial_population,color,cum_gdp_share
Papua New Guinea,0.01980943738453614,1758.7719921655905,19.332028464280988,4130.985991000002,#6399c7,80.63776254920661
Sri Lanka,0.1011728121286825,2180.5796001645917,19.427942375199894,17016.999995000002,#6399c7,80.7389353613353
Democratic Republic of Congo,0.0687465250849976,664.5410326547667,19.516047618785933,37941.98700399999,#6399c7,80.8076818864203
Spain,2.1281683212224802,20098.451761979057,19.53196304457067,38836.00000400001,#fdbf71,82.93585020764277
Uganda,0.029264083512059103,601.6018919112773,19.716492309294406,17840.903995,#6399c7,82.96511429115483
Congo,0.02539401524607452,3845.500232116475,19.759822493902092,2421.975001000001,#bde2ee,82.99050830640091
Central African Republic,0.0074548665531330854,908.9823997249579,19.85955251144436,3007.9839979999992,#6399c7,82.99796317295404
Botswana,0.028209002210378323,7567.772700908495,19.86947601061795,1367.133003,#A9A9A9,83.02617217516442
Myanmar,0.041363123739375444,377.879585406861,20.225471402915982,40146.808005000006,#6399c7,83.06753529890379
Solomon Islands,0.002023945906886346,2367.0856312893466,20.23854509254529,313.5999999999999,#6399c7,83.06955924481068
Cameroon,0.07812609971952335,2341.232584894322,20.327888035689487,12238.909002000002,#6399c7,83.1476853445302
Ethiopia,0.07744162973703725,554.9646552716507,20.872614019245418,51179.99999599999,#6399c7,83.22512697426724
Kenya,0.0958965061058677,1500.029907300907,20.946129933493967,23447.361996000014,#6399c7,83.32102348037311
Singapore,0.2082904669324747,25071.947010816486,21.067013358781953,3047.000001,#ea5739,83.52931394730558
Greece,0.4970656910604023,17941.901109017657,21.09600150407859,10160.999999,#fdbf71,84.02637963836598
Angola,0.08942225203213058,3113.3884519492453,21.17102415592,10534.245004000006,#bde2ee,84.11580189039812
Indonesia,1.0687040257028046,2199.190682725106,21.29265079772446,178232.00001899985,#6399c7,85.18450591610092
Brunei,0.037180919326603584,53061.74163126396,21.311879197464982,256.998001,#ea5739,85.22168683542752
Mozambique,0.01577805324923295,427.2808239118822,21.43755105346424,13543.507017,#6399c7,85.23746488867675
Guinea,0.015287068122580466,929.3211066435009,21.510596262431473,6033.225001000001,#6399c7,85.25275195679933
Laos,0.012009326044668747,1080.5474231920755,21.517788882877745,4076.2980000000007,#6399c7,85.26476128284399
